item,2017,2016,2015,2014
Current Assets,"394,668","483,316","661,297","571,506"
Investments,"59,838","60,100","82,800","86,878"
Other Assets,-,-,-,-
Current Liabilities,"978,982","884,203","1,166,451","1,063,700"
Other Liabilities,-,-,-,-
Minority Interests,-,-,-,-
All figures are in,Thousands,Thousands,Thousands,Thousands
Last Update Date,2018-03-04,2017-03-09,2016-02-21,2015-02-15
Inventory,"741,454","817,469","754,934","657,963"
Fixed Assets,"2,739,808","2,890,059","3,014,558","3,168,093"
Total Assets,"3,935,768","4,250,944","4,513,589","4,484,440"
Non-Current Liabilities,"78,919","91,277","91,316","211,410"
Shareholders Equity,"2,877,867","3,275,464","3,255,822","3,209,330"
Total Liabilities and Shareholder Equity,"3,935,768","4,250,944","4,513,589","4,484,440"
Currency,SAR,SAR,SAR,SAR
