0,1,2,3,4,5,6,7,8,9
SARCO,,44.20,981,0.16,0.36,925,"477,944",44.20,407
Bahri,,31.00,500,-0.10,-0.32,742,"895,984",30.85,"14,300"
Petro Rabigh,,29.40,"6,215",0.01,0.03,"1,126","1,293,815",29.40,"3,847"
Aldrees,,29.10,"1,273",0.16,0.55,748,"595,985",29.05,"2,587"
Takween,,9.74,"3,000",0.04,0.41,325,"399,700",9.72,500
BCI,,24.24,"4,576",-0.19,-0.78,208,"148,368",24.24,"4,024"
ASLAK,,16.52,"1,166",0.07,0.43,724,"950,852",16.52,"13,934"
SSP,,21.78,"2,132",0.00,0.00,326,"225,475",21.80,92
Petrochem,,27.45,"1,019",0.00,0.00,355,"393,260",27.45,81
SAFCO,,69.80,"1,645",-1.50,-2.10,640,"349,034",69.60,"1,875"
NGC,,12.72,"4,792",0.13,1.03,369,"576,366",12.64,"5,234"
Alujain,,27.25,868,0.30,1.11,801,"1,080,435",27.25,"21,887"
APC,,12.82,"3,820",0.05,0.39,407,"599,963",12.80,"21,709"
Maadaniyah,,19.50,"2,380",0.12,0.62,191,"149,271",19.44,"4,000"
SIIG,,26.30,"1,000",-0.43,-1.61,970,"1,567,379",26.25,"11,927"
YANSAB,,72.30,219,-1.52,-2.06,469,"287,527",72.30,"4,877"
Sipchem,,23.44,"6,461",-0.12,-0.51,753,"1,050,286",23.46,800
Saudi Kayan,,14.54,"2,495",-0.29,-1.96,"3,054","11,836,387",14.52,"7,767"
Najran Cement,,9.04,"17,560",-0.01,-0.11,632,"1,431,879",9.04,"46,132"
Northern Cement,,10.36,"5,000",0.02,0.19,209,"307,293",10.36,10
OASIS,,44.65,475,0.18,0.40,421,"171,538",44.65,"2,657"
YSCC,,17.04,936,0.01,0.06,330,"561,853",16.98,421
QACCO,,41.05,649,-0.12,-0.29,139,"56,518",41.05,"7,814"
YCC,,30.70,826,0.08,0.26,443,"415,666",30.65,"4,302"
TCC,,14.04,"2,746",-0.02,-0.14,264,"254,693",14.04,"7,670"
MEPCO,,26.65,700,0.50,1.91,475,"465,875",26.55,"4,167"
MAADEN,,57.10,300,-0.29,-0.51,553,"317,040",57.00,"4,272"
ALYAMAMAH STEEL,,21.74,"1,000",-0.03,-0.14,179,"97,998",21.74,686
CHEMANOL,,10.22,"2,242",0.03,0.29,683,"1,578,841",10.22,"1,293"
SABIC,,122.00,"2,000",-0.68,-0.55,"2,758","3,746,252",122.00,"258,627"
TASNEE,,20.96,"2,639",0.60,2.95,"2,647","4,776,015",20.94,"19,482"
Zoujaj,,21.40,"2,400",0.30,1.42,677,"734,359",21.36,"1,000"
FIPCO,,34.75,600,0.81,2.39,620,"377,723",34.75,386
Nama Chemicals,,20.40,"1,198",0.22,1.09,"1,036","947,555",20.44,"1,538"
Zamil Indust,,25.90,798,0.01,0.04,98,"77,588",25.90,845
Sahara,,18.98,"5,000",-1.01,-5.05,"2,394","3,888,090",18.96,"73,684"
SPM,,9.34,"2,212",-0.08,-0.85,706,"1,193,203",9.32,"4,840"
Advanced,,51.30,314,-0.12,-0.23,162,"98,476",51.00,756
HCC,,9.28,"2,000",0.04,0.43,177,"306,594",9.26,977
City Cement,,13.06,"3,000",0.00,0.00,633,"1,586,724",13.06,"13,123"
UACC,,15.94,"6,000",-0.05,-0.31,277,"264,451",15.92,"15,867"
ACC,,33.00,"2,000",-0.07,-0.21,265,"163,886",32.95,"9,777"
SCC,,52.20,"2,000",-0.07,-0.13,142,"75,078",52.00,"1,592"
spcc,,41.90,"1,906",0.66,1.60,852,"515,139",41.75,"1,305"
EPCCO,,26.85,"2,528",0.05,0.19,38,"62,103",26.85,"5,023"
Jouf Cement,,10.18,"7,530",-0.01,-0.10,173,"420,593",10.16,"12,911"
Astra Indust,,20.66,"1,683",1.44,7.49,"2,880","2,628,462",20.66,"9,787"
EIC,,23.64,"4,303",0.40,1.72,405,"380,359",23.62,"5,171"
Saudi Ceramics,,24.80,709,0.70,2.90,"1,672","1,196,589",24.80,"1,493"
ADC,,11.88,"1,380",0.01,0.08,481,"665,951",11.88,"4,180"
AL-BABTAIN,,28.50,911,0.31,1.10,376,"519,965",28.40,"36,745"
MESC,,8.55,"2,427",-0.01,-0.12,381,"775,434",8.56,100
Bawan,,18.38,851,0.27,1.49,979,"986,594",18.38,"2,827"
ALKHODARI,,9.02,"2,000",0.05,0.56,"1,333","2,867,934",9.01,"9,039"
SCC,,10.10,"2,000",-0.01,-0.10,502,"545,859",10.10,"6,317"
Amiantit,,7.90,"2,176",-0.33,-4.01,"2,092","4,910,253",7.90,"2,372"
SVCP,,51.30,784,-0.24,-0.47,128,"68,050",51.40,"1,418"
SIECO,,266.00,70,-0.74,-0.28,424,"31,487",265.80,330
SPPC,,19.88,"1,254",-0.38,-1.88,"2,731","3,127,937",19.88,427
Catering,,84.30,349,0.17,0.20,201,"117,745",84.00,"5,207"
