,Ticker,Close Price,Change %,Empty,Traded Value,Volume,Bid Price,Day High,Day Low,Date
0,SRMG,91.40,9.91%,"
          8.24
        ","71,448,767.30","809,511",83.50,91.40,83.40,2018-04-19 11:59:31
1,SIIG,26.90,7.35%,"
          1.83
        ","102,678,017.35","3,894,229",25.00,27.20,25.00,2018-04-19 11:59:52
2,Aldrees,28.80,6.91%,"
          1.87
        ","81,636,687.70","2,834,786",27.50,29.70,27.50,2018-04-19 11:59:48
3,DWF,73.00,6.41%,"
          4.40
        ","21,618.40",296,73.00,73.00,73.00,2018-04-19 10:34:04
4,MAADEN,57.40,6.10%,"
          3.30
        ","149,944,690.60","2,669,450",54.30,57.70,54.30,2018-04-19 11:59:55
5,SPPC,20.14,5.74%,"
          1.10
        ","115,634,618.12","5,841,773",19.16,20.38,19.16,2018-04-19 11:59:57
6,Extra,82.50,5.51%,"
          4.30
        ","37,090,856.20","459,524",78.60,83.40,78.60,2018-04-19 11:59:47
7,BSFR,32.90,4.64%,"
          1.45
        ","30,358,958.40","948,084",30.60,33.00,30.60,2018-04-19 11:59:49
8,ARNB,32.10,4.51%,"
          1.38
        ","17,224,320.70","539,230",30.70,33.65,30.70,2018-04-19 11:59:46
9,Sagr Insurance,25.00,4.36%,"
          1.04
        ","50,394,285.15","1,995,570",24.20,26.00,24.20,2018-04-19 11:59:56
10,Alujain,26.90,3.57%,"
          0.93
        ","54,972,296.20","2,048,371",26.30,27.30,26.30,2018-04-19 11:59:52
11,samba,29.00,3.57%,"
          1.00
        ","75,791,626.80","2,623,593",28.20,29.20,28.10,2018-04-19 11:59:18
12,TAPRCO,46.20,3.38%,"
          1.52
        ","56,797,468.45","1,233,124",45.00,47.15,44.50,2018-04-19 11:59:57
13,ALOMRAN,16.94,3.29%,"
          0.54
        ",16.94,1,16.94,16.94,16.94,2018-04-19 11:42:47
14,YSCC,17.04,3.09%,"
          0.51
        ","32,315,269.96","1,901,287",16.72,17.16,16.70,2018-04-19 11:59:55
15,AICC,17.50,3.00%,"
          0.51
        ","12,680,107.00","722,056",17.10,18.00,17.10,2018-04-19 11:59:45
16,ALBILAD,24.46,2.99%,"
          0.71
        ","34,921,975.80","1,445,942",23.62,24.50,23.62,2018-04-19 11:59:45
17,BJAZ,13.10,2.75%,"
          0.35
        ","105,008,845.10","8,058,197",12.70,13.22,12.70,2018-04-19 11:59:53
18,Al Rajhi,84.40,2.67%,"
          2.19
        ","293,862,640.80","3,503,615",82.10,84.80,82.10,2018-04-19 11:59:49
19,Saudi Ceramics,24.12,2.64%,"
          0.62
        ","21,966,438.58","920,596",23.48,24.16,23.48,2018-04-19 11:59:46
20,WALAA,34.25,2.48%,"
          0.83
        ","47,114,735.20","1,371,056",33.80,35.00,33.80,2018-04-19 11:59:47
21,saib,16.76,2.45%,"
          0.40
        ","5,469,217.08","328,963",16.36,16.76,16.36,2018-04-19 11:59:53
22,Saudi Airlines Cater,84.40,2.19%,"
          1.80
        ","24,604,079.60","293,445",82.50,84.70,82.40,2018-04-19 11:59:43
23,Mouwasat,195.00,2.13%,"
          4.06
        ","9,694,469.60","49,519",191.00,200.00,189.40,2018-04-19 11:59:25
24,ALAWWAL,12.74,2.08%,"
          0.26
        ","9,912,448.98","781,510",12.56,12.78,12.54,2018-04-19 11:59:24
25,Budget Saudi,38.40,1.96%,"
          0.74
        ","14,741,507.35","382,494",37.95,39.30,37.60,2018-04-19 11:59:48
26,Almarai,58.90,1.89%,"
          1.09
        ","55,123,412.80","944,956",58.00,59.00,58.00,2018-04-19 11:59:44
27,Sipchem,23.60,1.86%,"
          0.43
        ","74,599,351.62","3,167,927",23.16,23.90,23.14,2018-04-19 11:59:55
28,SABB,32.50,1.81%,"
          0.57
        ","26,695,304.75","832,160",31.70,32.50,31.70,2018-04-19 11:59:43
29,Herfy Foods,48.80,1.79%,"
          0.86
        ","10,342,030.65","212,506",48.20,49.00,48.20,2018-04-19 11:59:56
30,Nama Chemicals,20.22,1.56%,"
          0.31
        ","10,688,016.20","532,486",19.96,20.30,19.88,2018-04-19 11:59:56
31,SASCO,18.24,1.56%,"
          0.28
        ","30,357,729.02","1,664,362",18.04,18.44,18.04,2018-04-19 11:59:56
32,RIBL,14.94,1.50%,"
          0.22
        ","19,616,438.86","1,317,478",14.72,15.00,14.70,2018-04-19 11:59:43
33,AlHokair,27.80,1.49%,"
          0.41
        ","25,000,891.45","897,893",27.45,28.15,27.45,2018-04-19 11:59:46
34,ADC,11.90,1.45%,"
          0.17
        ","21,025,425.76","1,771,973",11.68,12.00,11.68,2018-04-19 11:58:54
35,Advanced,51.90,1.44%,"
          0.73
        ","29,828,789.10","579,381",50.70,52.10,50.70,2018-04-19 11:59:46
36,Alinma,21.08,1.44%,"
          0.30
        ","729,269,004.62","34,712,365",20.82,21.20,20.78,2018-04-19 11:59:59
37,SARCO,44.05,1.43%,"
          0.62
        ","36,119,933.30","816,273",43.60,45.00,43.55,2018-04-19 11:59:42
38,SAPTCO,16.60,1.35%,"
          0.22
        ","16,600,459.38","1,008,717",16.30,16.60,16.30,2018-04-19 11:59:52
39,Amana Insurance,19.44,1.35%,"
          0.26
        ","8,877,548.26","459,007",19.24,19.58,19.02,2018-04-19 11:59:31
40,Sahara,20.00,1.32%,"
          0.26
        ","116,647,167.14","5,836,260",19.72,20.08,19.72,2018-04-19 11:59:52
41,SADAFCO,118.20,1.29%,"
          1.50
        ","6,105,071.00","51,594",117.20,119.00,117.20,2018-04-19 11:59:40
42,Emaar EC,13.56,1.27%,"
          0.17
        ","27,072,464.22","2,006,728",13.38,13.62,13.38,2018-04-19 11:59:46
43,RAYDAN,15.90,1.27%,"
          0.20
        ","367,790.50","23,455",15.92,15.92,15.62,2018-04-19 11:59:08
44,NCB,66.90,1.23%,"
          0.81
        ","71,179,282.10","1,069,247",66.00,66.90,66.00,2018-04-19 11:59:49
45,ZAIN KSA,7.60,1.20%,"
          0.09
        ","133,549,809.71","17,336,586",7.59,7.84,7.55,2018-04-19 11:59:56
46,SACO,133.60,1.20%,"
          1.58
        ","5,808,727.40","43,858",131.60,134.00,130.60,2018-04-19 11:59:15
47,SABIC,122.80,1.17%,"
          1.42
        ","701,375,907.00","5,734,708",121.40,123.80,121.40,2018-04-19 11:59:49
48,ALYAMAMAH STEEL,21.76,1.11%,"
          0.24
        ","4,858,973.90","223,035",21.50,21.90,21.50,2018-04-19 11:58:58
49,ALKATHIRI,27.90,1.09%,"
          0.30
        ","37,822.30","1,373",27.90,27.90,27.90,2018-04-19 09:15:33
50,SAFCO,71.10,1.03%,"
          0.73
        ","37,518,406.50","528,547",70.70,71.40,70.40,2018-04-19 11:59:38
51,Chemical,33.70,1.02%,"
          0.34
        ","4,519,162.25","133,674",33.60,34.00,33.60,2018-04-19 11:59:36
52,NGC,12.56,0.96%,"
          0.12
        ","18,819,918.12","1,466,936",12.54,13.02,12.54,2018-04-19 11:59:33
53,Dar Al Arkan,13.72,0.96%,"
          0.13
        ","355,086,246.72","25,873,375",13.56,13.86,13.52,2018-04-19 11:59:51
54,TASNEE,20.38,0.94%,"
          0.19
        ","79,950,306.56","3,928,144",20.20,20.42,20.20,2018-04-19 11:59:45
55,SPIMACO,31.55,0.93%,"
          0.29
        ","11,745,166.00","373,926",31.25,31.55,31.25,2018-04-19 11:59:52
56,YCC,30.70,0.89%,"
          0.27
        ","21,894,121.75","721,136",30.30,30.75,30.10,2018-04-19 11:59:39
57,Petrochem,27.40,0.88%,"
          0.24
        ","17,557,312.10","632,591",27.40,28.10,27.40,2018-04-19 11:59:44
58,Sharqiya Dev Co,47.10,0.84%,"
          0.39
        ","11,173,702.75","236,967",46.85,47.70,46.60,2018-04-19 11:59:57
59,SRECO,22.94,0.83%,"
          0.19
        ","7,733,416.04","337,570",22.80,23.00,22.60,2018-04-19 11:59:42
60,spcc,41.40,0.83%,"
          0.34
        ","13,163,673.65","320,608",41.05,41.40,40.85,2018-04-19 11:59:57
61,YANSAB,73.90,0.78%,"
          0.57
        ","38,000,745.00","515,402",73.10,74.00,73.10,2018-04-19 11:59:39
62,SISCO,14.68,0.76%,"
          0.11
        ","23,963,371.14","1,630,893",14.58,14.84,14.54,2018-04-19 11:59:50
63,CHUBB,24.64,0.73%,"
          0.18
        ","19,772,185.26","806,153",24.30,24.96,24.00,2018-04-19 11:59:58
64,AlRajhi Takaful,81.60,0.71%,"
          0.58
        ","8,344,203.70","102,067",81.50,82.40,81.30,2018-04-19 11:59:50
65,METLIFE AIG ANB,12.72,0.71%,"
          0.18
        ","7,096,680.06","289,749",24.66,24.88,24.14,2018-04-18 11:59:34
66,SCC,52.40,0.69%,"
          0.36
        ","6,241,018.40","119,979",52.00,52.50,51.80,2018-04-19 11:59:49
67,ACC,33.10,0.67%,"
          0.22
        ","9,869,794.40","298,015",32.95,33.35,32.90,2018-04-19 11:59:10
68,EPCCO,26.80,0.64%,"
          0.17
        ","2,806,517.60","104,365",26.80,27.00,26.70,2018-04-19 11:59:44
69,AL-BABTAIN,28.20,0.61%,"
          0.17
        ","15,083,858.95","534,699",28.05,28.40,28.05,2018-04-19 11:56:52
70,ASLAK,16.44,0.49%,"
          0.08
        ","25,314,520.94","1,530,351",16.44,16.68,16.36,2018-04-19 11:59:49
71,SSP,21.78,0.46%,"
          0.10
        ","20,160,124.20","916,050",21.54,22.26,21.52,2018-04-19 11:59:56
72,QACCO,41.20,0.44%,"
          0.18
        ","2,430,734.05","59,085",41.50,41.50,41.00,2018-04-19 11:58:59
