,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
0,UNIKAI,Unikai,9.03,14.89%,884.94,104,8.44,8.44,8.44,2016-07-14 06:34:51
1,AWNIC,Al Wathba National I,12.75,14.86%,"446,250.00","35,000",12.75,12.75,12.75,2017-01-18 10:00:00
2,ASCANA,Ascana,2.65,14.72%,"7,950.00","3,000",2.65,2.65,2.65,2018-03-12 07:48:49
3,MAZAYA,Mazaya,1.89,14.54%,945.00,500,1.89,1.89,1.89,2017-03-12 06:49:31
4,NIND,NIND,1.97,14.54%,"51,946.93","26,369",1.97,1.97,1.97,2017-02-07 08:49:08
5,RAKWCT,RAK White Cement,0.97,14.12%,"55,093.20","58,029",0.97,0.97,0.80,2018-04-12 06:23:23
6,TNI,The National Investo,0.51,13.33%,"15,300.00","30,000",0.51,0.51,0.51,2018-02-11 08:27:18
7,SCIDC,Sharjah Cement & Ind,1.19,10.19%,"1,190.00","1,000",1.19,1.19,1.19,2018-04-22 09:16:41
8,FCI,Fujairah Cement Indu,1.20,10.09%,"12,000.00","10,000",1.20,1.20,1.20,2018-04-17 08:39:38
9,NBQ,NBQ,2.95,10.07%,"13,539.59","5,000",2.68,2.95,2.68,2018-04-19 07:21:30
10,NGI,NGI,2.20,10.00%,"2,200.00","1,000",2.20,2.20,2.20,2018-03-19 09:55:00
11,TAKAFUL-EM,Takaful Al Emarat,1.88,8.67%,"1,504.00",800,1.88,1.88,1.88,2018-04-12 08:08:43
12,BILDCO,BILDCO,0.54,8.00%,"92,245.50","179,211",0.50,0.54,0.50,2018-04-19 09:29:30
13,ADNIC,ADNIC,3.60,5.26%,"13,996.80","3,888",3.60,3.60,3.60,2018-04-10 08:17:21
14,NAHO,Naeem Holding,2.30,4.54%,"1,150,000.00","500,000",2.30,2.30,2.30,2018-04-16 07:26:57
15,AKIC,Al Khazna Insurance,0.24,4.35%,"6,543.90","27,366",0.23,0.24,0.23,2018-04-22 09:32:53
16,ASMAK,International Holdin,1.43,3.62%,"84,300.00","60,000",1.40,1.43,1.40,2018-04-22 08:50:07
17,TAQA,Taqa,1.23,3.36%,"23,909,878.72","19,344,994",1.18,1.26,1.18,2018-04-22 10:00:00
18,ALSALAMSUDAN,Al Salam Bank,1.64,3.15%,"241,221.24","150,000",1.56,1.64,1.56,2018-04-22 07:59:42
19,NMDC,National Marine Dred,3.40,3.03%,"1,819.00",535,3.40,3.40,3.40,2018-04-22 10:00:00
