,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
0,Unikai,9.03,14.89%,884.94,104,8.44,8.44,8.44,2016-07-14 06:34:51
1,Al Wathba National I,12.75,14.86%,"446,250.00","35,000",12.75,12.75,12.75,2017-01-18 10:00:00
2,Ascana,2.65,14.72%,"7,950.00","3,000",2.65,2.65,2.65,2018-03-12 07:48:49
3,Mazaya,1.89,14.54%,945.00,500,1.89,1.89,1.89,2017-03-12 06:49:31
4,NIND,1.97,14.54%,"51,946.93","26,369",1.97,1.97,1.97,2017-02-07 08:49:08
5,RAK White Cement,0.97,14.12%,"55,093.20","58,029",0.97,0.97,0.80,2018-04-12 06:23:23
6,The National Investo,0.51,13.33%,"15,300.00","30,000",0.51,0.51,0.51,2018-02-11 08:27:18
7,Fujairah Cement Indu,1.20,10.09%,"12,000.00","10,000",1.20,1.20,1.20,2018-04-17 08:39:38
8,NBQ,2.95,10.07%,"13,539.59","5,000",2.68,2.95,2.68,2018-04-19 07:21:30
9,NGI,2.20,10.00%,"2,200.00","1,000",2.20,2.20,2.20,2018-03-19 09:55:00
10,Takaful Al Emarat,1.88,8.67%,"1,504.00",800,1.88,1.88,1.88,2018-04-12 08:08:43
11,BILDCO,0.54,8.00%,"92,245.50","179,211",0.50,0.54,0.50,2018-04-19 09:29:30
12,Ekttitab,0.34,7.19%,"18,350.50","53,500",0.34,0.34,0.34,2018-04-18 09:39:21
13,ADA,2.95,5.36%,"2,950.00","1,000",2.95,2.95,2.95,2018-04-18 06:32:39
14,ADNIC,3.60,5.26%,"13,996.80","3,888",3.60,3.60,3.60,2018-04-10 08:17:21
15,Naeem Holding,2.30,4.54%,"1,150,000.00","500,000",2.30,2.30,2.30,2018-04-16 07:26:57
16,Invest Bank,2.34,4.00%,"468,000.00","200,000",2.34,2.34,2.34,2018-04-19 10:00:00
17,Marka,0.33,3.76%,"3,568,182.80","11,032,254",0.32,0.33,0.31,2018-04-19 09:59:13
18,Taqa,1.19,3.48%,"17,749,531.83","14,991,850",1.13,1.20,1.13,2018-04-19 10:00:00
19,Al Salam Bank,1.59,3.25%,"193,259.40","124,748",1.51,1.59,1.51,2018-04-12 09:33:36
20,Sharjah Cement & Ind,1.08,2.86%,"97,200.00","90,000",1.08,1.08,1.08,2018-04-16 06:02:38
21,Emaar Development,5.51,2.04%,"10,374,959.94","1,894,394",5.45,5.52,5.45,2018-04-19 09:55:00
22,Sudatel,0.52,1.96%,"186,600.00","360,000",0.51,0.52,0.51,2018-04-19 09:18:06
23,Dubai Investments,2.10,1.94%,"6,143,713.19","2,941,225",2.06,2.10,2.06,2018-04-19 09:55:00
24,Tabreed,1.74,1.75%,"1,650,461.74","953,195",1.73,1.74,1.71,2018-04-19 09:55:00
25,DNIR,3.56,1.71%,"14,129.64","3,969",3.56,3.56,3.56,2018-02-25 08:14:44
26,Mashreq,78.00,1.30%,"234,000.00","3,000",78.00,78.00,78.00,2018-04-16 08:23:33
27,Agility,8.68,1.28%,"12,143.32","1,399",8.68,8.68,8.68,2018-01-21 06:09:37
28,FAB,12.55,1.21%,"33,199,783.25","2,652,633",12.40,12.60,12.40,2018-04-19 10:00:00
29,Shuaa,1.01,1.00%,"7,405,739.00","7,335,669",1.01,1.01,1.00,2018-04-19 09:55:00
30,AAN,0.35,0.87%,"336,982.97","964,042",0.35,0.35,0.34,2018-04-19 09:59:29
31,RAK Ceramics,2.48,0.81%,"490,947.04","194,000",2.47,2.60,2.47,2018-04-19 09:47:48
32,Ithmaar Holding,0.38,0.80%,"2,133,294.82","5,709,275",0.38,0.38,0.37,2018-04-19 09:59:20
