,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
0,TRTO,Trans Oceans Tours,0.08,14.29%,"135,574.00","98,073",0.07,0.08,0.07,2018-04-22 12:29:54
1,ADPC,Arab Dairy-Panda,10.40,9.47%,"18,574.40","1,786",9.50,10.40,10.40,2018-01-10 11:03:02
2,CCAP,Qalaa Holdings,2.71,8.50%,"72,310,040.00","26,957,239",2.47,2.71,2.58,2018-04-22 12:25:03
3,OTMT,Orascom Telecom Medi,0.86,7.59%,"130,499,632.00","153,156,501",0.83,0.88,0.83,2018-04-22 12:29:56
4,ELEC,Electro Cable,0.92,6.98%,"7,212,085.50","7,876,061",0.86,0.94,0.86,2018-04-22 12:29:35
5,RACC,Raya Contact Center,14.00,6.79%,"70,000.00","5,000",13.11,14.00,14.00,2018-04-19 12:19:24
6,UEGC,Elsaeed Contracting,0.77,5.56%,"13,722,313.00","17,939,952",0.72,0.78,0.72,2018-04-22 12:28:07
7,ASCM,ASCOM,10.86,5.53%,"4,696,057.50","447,697",9.94,10.93,10.00,2018-04-22 12:28:14
8,AMER,Amer Group,0.40,5.41%,"39,432,392.00","100,466,868",0.37,0.40,0.38,2018-04-22 12:27:49
9,PORT,Porto Group,0.39,5.41%,"21,155,496.00","54,769,618",0.37,0.40,0.37,2018-04-22 12:29:13
10,NCEM,National Cement,15.50,5.37%,"949,210.88","61,185",14.71,15.88,15.00,2018-02-05 12:28:57
11,EGTS,Egyptian Resorts,2.32,5.00%,"112,935,120.00","48,787,684",2.20,2.36,2.25,2018-04-22 12:29:58
12,CSAG,Canal Shipping Agenc,15.90,4.98%,"11,862,740.00","759,749",14.87,16.00,15.00,2018-04-22 12:29:53
13,ABUK,Abu Qir Fertilizers,33.10,4.72%,"44,352,868.00","1,340,229",31.60,33.89,31.89,2018-04-22 12:29:21
14,REAC,Reacap,6.00,4.72%,"5,993,265.00","1,000,000",5.72,6.00,5.79,2018-04-22 12:03:15
15,MHOT,Misr Hotels,56.00,4.60%,"55,934.00","1,000",53.47,56.00,55.90,2018-04-19 11:04:35
16,MOED,Egyptian Modern Educ,1.62,4.52%,"33,232.68","20,514",1.55,1.62,1.62,2018-04-22 10:14:52
17,ALRA,Atlas,9.25,4.45%,"157,107.27","17,170",8.76,9.30,8.97,2018-04-22 12:17:18
18,EPPK,El Ahram for Packing,8.51,4.03%,"1,118,648.88","131,494",8.18,8.85,8.05,2018-04-22 12:27:50
19,IEEC,I.E.E,10.34,4.02%,"961,679.94","95,545",9.94,10.34,9.90,2018-04-18 10:29:44
20,AIND,Arabia Investments,0.78,4.00%,"4,575,571.00","5,873,447",0.75,0.80,0.75,2018-04-22 12:29:40
21,EGCH,Kima,8.42,3.84%,"28,299,408.00","3,375,816",8.07,8.59,8.10,2018-04-22 12:29:50
22,FIRE,First Investment,2.50,3.73%,"10,906.50","4,500",2.41,2.50,2.29,2018-04-15 11:42:07
23,MENA,Mena Touristic Inves,2.86,3.64%,"6,561,908.50","2,304,918",2.75,2.94,2.79,2018-04-22 12:29:50
24,WATP,Bitumode,0.90,3.57%,"133,375.41","153,500",0.84,0.91,0.81,2018-04-22 12:01:49
25,DOMT,Domty,12.32,3.57%,"450,079.25","36,110",12.03,12.50,12.30,2018-04-22 12:27:54
26,MMAT,Marsa Marsa Alam,1.17,3.48%,"222,547.00","186,950",1.15,1.21,1.17,2018-04-22 12:29:45
27,NINH,Nozha International,85.00,3.13%,"68,623.00",826,80.56,85.00,82.00,2018-04-19 12:26:31
28,RTVC,Remco,6.09,3.07%,"4,921,978.00","813,458",5.87,6.15,5.92,2018-04-22 12:29:51
29,OREG,Orange,18.09,3.05%,"3,261,534.50","178,606",17.72,18.54,17.80,2018-04-22 12:29:38
30,ETRS,Egytrans,12.83,3.05%,"3,790,380.75","295,404",12.45,13.07,12.50,2018-04-22 12:29:01
31,QNBA,QNB Al Ahli,53.11,3.00%,"128,800.15","2,315",54.02,56.00,53.11,2018-04-22 11:54:39
32,SWDY,Elsewedy Electric,240.00,2.94%,"48,169,244.00","201,042",232.76,242.40,234.97,2018-04-22 12:29:28
33,EFIC,Egyptian Financial &,16.30,2.92%,"11,739,251.00","724,641",15.74,16.35,15.91,2018-04-22 12:29:58
34,RREI,ALICO,0.72,2.90%,"927,683.75","1,298,755",0.69,0.73,0.69,2018-04-22 12:26:14
35,ICMI,ICMI,1.12,2.78%,"127,625.00","114,500",1.08,1.12,1.09,2018-04-19 12:08:26
36,UASG,AELOAD,1.51,2.74%,"8,944,681.00","5,945,792",1.46,1.54,1.47,2018-04-22 12:29:31
37,ALCN,Alex Cont,166.00,2.73%,"937,632.50","5,565",164.01,170.00,165.97,2018-04-22 12:08:35
38,BTFH,Beltone Financial,16.19,2.65%,"14,591,188.00","919,543",15.46,16.19,15.30,2018-04-22 12:29:38
39,EIUD,Egyptians for Invest,2.27,2.62%,"1,407,928.13","598,651",2.29,2.39,2.27,2018-04-22 12:28:32
40,AFDI,Al Ahly for Developm,12.40,2.49%,"6,437,502.50","539,000",11.65,12.42,11.40,2018-04-22 12:29:57
41,RAKT,Rakta,7.80,2.40%,"587,597.19","76,385",7.51,7.81,7.53,2018-04-22 12:29:49
42,MOIN,Mohandes Insurance,11.26,2.32%,"635,111.19","55,270",11.23,11.50,11.26,2018-04-22 12:29:15
43,MFPC,Mopco,105.36,2.22%,"5,724,133.50","54,017",103.67,108.00,103.90,2018-04-22 12:29:29
44,ELSH,Al Shams Housing,6.85,2.22%,"3,712,261.50","537,945",6.75,6.99,6.80,2018-04-22 12:29:58
45,GGCC,Giza General Contrac,1.85,2.20%,"713,806.25","384,215",1.82,1.88,1.84,2018-04-22 12:28:41
46,MOIL,Maridive,0.47,2.17%,"1,295,927.00","155,352",0.46,0.48,0.47,2018-04-22 12:28:40
47,PRCL,Sheeni,5.63,2.16%,"836,858.50","147,333",5.56,5.75,5.61,2018-04-22 12:29:52
48,AJWA,Ajwa,2.94,2.07%,"602,636.50","203,932",2.90,3.00,2.90,2018-04-22 12:28:00
49,ARCC,ACC,9.29,1.98%,"1,895,471.13","203,938",9.11,9.46,9.19,2018-04-22 12:29:45
50,ISPH,Ibnsina Pharma,10.89,1.94%,"17,104,436.00","1,553,394",10.80,11.19,10.73,2018-04-22 12:29:51
51,EGX30ETF,EGX 30 INDEX ETF,18.54,1.87%,"1,988,600.38","107,260",18.20,18.54,18.54,2018-04-11 09:33:52
52,SVCE,South Valley Cement,5.08,1.80%,"6,625,383.00","1,302,855",5.00,5.15,5.00,2018-04-22 12:29:41
53,INFI,Foodico,7.85,1.79%,"139,757.02","17,602",7.80,7.98,7.71,2018-04-22 12:28:18
54,ETEL,Telecom Egypt,15.00,1.75%,"64,559,280.00","4,275,509",14.84,15.30,14.90,2018-04-22 12:29:51
55,AMOC,AMOC,10.99,1.66%,"11,168,097.00","1,013,496",10.84,11.20,10.87,2018-04-22 12:29:59
56,ICFC,El Dawlia Fertilizer,1.29,1.60%,"56,100.00","44,000",1.25,1.29,1.27,2018-04-22 12:28:47
57,KWIN,El Kahera El Watania,3.97,1.59%,"33,030.23","7,392",4.40,4.52,3.97,2018-04-22 10:48:01
58,ENGC,ICON,8.17,1.50%,"422,187.94","51,898",8.01,8.24,8.02,2018-04-22 12:28:49
59,GOCO,Golden Coast,6.57,1.41%,"918,516.88","141,532",6.40,6.60,6.35,2018-04-22 12:29:55
60,APSW,Unirab,2.99,1.35%,"268,407.00","89,537",2.96,3.05,2.97,2018-04-22 12:29:27
61,POUL,Cairo Poultry,8.50,1.28%,"660,898.81","75,890",8.60,8.99,8.43,2018-04-22 12:29:59
62,VODE,Vodafone,120.00,1.24%,"59,040.00",492,118.53,120.00,120.00,2018-04-18 10:24:14
63,ZEOT,Extracted Oils,1.62,1.24%,"2,288,120.00","1,400,275",1.61,1.65,1.62,2018-04-22 12:29:40
64,MPRC,Media Production Cit,7.87,1.14%,"1,934,564.75","242,750",7.88,8.14,7.82,2018-04-22 12:29:51
65,GMCI,GMC,0.93,1.10%,"367,392.69","399,155",0.91,0.94,0.91,2018-04-22 12:28:33
66,SMFR,EGYFERT,5.55,1.09%,"116,902.65","21,063",5.49,5.65,5.51,2018-04-22 12:24:43
