,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
0,Arab Dairy-Panda,10.40,9.47%,"18,574.40","1,786",9.50,10.40,10.40,2018-01-10 11:03:02
1,Zahraa Maadi,22.78,7.73%,"482,927.94","21,513",20.84,22.78,20.05,2018-04-19 11:46:54
2,Raya Contact Center,14.00,6.79%,"70,000.00","5,000",13.11,14.00,14.00,2018-04-19 12:19:24
3,Mena Touristic Inves,2.83,6.59%,"7,781,383.50","2,832,121",2.58,2.83,2.58,2018-04-19 12:27:36
4,Gulf Canadian Real E,11.55,6.09%,"2,134,778.50","185,788",10.83,11.87,11.20,2018-04-19 12:28:57
5,Arab Aluminum,32.88,5.90%,"2,678,027.50","81,553",32.50,33.55,32.10,2018-04-19 12:28:13
6,Egypt Aluminum,70.12,5.78%,"117,277,976.00","1,668,278",69.65,71.90,68.51,2018-04-19 12:29:48
7,National Cement,15.50,5.37%,"949,210.88","61,185",14.71,15.88,15.00,2018-02-05 12:28:57
8,El Obour Real Estate,9.00,5.24%,"1,249,753.50","141,433",8.40,9.00,8.39,2018-04-19 12:29:35
9,Ibnsina Pharma,10.72,4.96%,"32,274,938.00","2,989,659",10.29,11.00,10.29,2018-04-19 12:29:43
10,Egyptian Modern Educ,1.55,4.73%,"52,080.00","33,600",1.48,1.55,1.55,2018-04-19 12:11:54
11,Misr Hotels,56.00,4.60%,"55,934.00","1,000",53.47,56.00,55.90,2018-04-19 11:04:35
12,Egyptians for Invest,2.31,4.57%,"2,294,533.00","1,001,806",2.19,2.35,2.16,2018-04-19 12:29:53
13,Arafa Holding,0.23,4.55%,"57,623.00","14,338",0.22,0.23,0.22,2018-04-19 12:10:47
14,Sinai Cement,12.10,4.06%,"839,807.38","68,209",11.83,12.65,12.00,2018-04-19 12:28:16
15,I.E.E,10.34,4.02%,"961,679.94","95,545",9.94,10.34,9.90,2018-04-18 10:29:44
16,Pachin,48.52,3.86%,"4,452,692.00","90,015",47.63,51.89,47.02,2018-04-19 12:29:00
17,First Investment,2.50,3.73%,"10,906.50","4,500",2.41,2.50,2.29,2018-04-15 11:42:07
18,Arab Moltaqa Investm,19.21,3.67%,"989,778.25","50,839",18.78,19.90,18.51,2018-04-19 12:28:15
19,ICON,8.07,3.49%,"940,469.25","117,425",7.74,8.10,7.90,2018-04-19 12:28:39
20,Golden Coast,6.48,3.39%,"1,311,843.25","205,003",6.19,6.51,6.20,2018-04-19 12:29:47
21,Qalaa Holdings,2.56,3.35%,"186,629,216.00","75,501,106",2.39,2.56,2.36,2018-04-19 12:29:51
22,New Ismailia Urban D,6.92,3.18%,"1,205,456.75","169,157",6.91,7.25,6.92,2018-04-19 12:21:12
23,Nozha International,85.00,3.13%,"68,623.00",826,80.56,85.00,82.00,2018-04-19 12:26:31
24,Export Development B,14.00,3.06%,"2,605,027.00","188,672",13.40,14.00,13.30,2018-04-19 12:14:17
25,Real Estate Egyptian,11.56,3.00%,"500,987.22","42,889",11.34,11.99,11.24,2018-04-19 12:26:50
26,Beltone Financial,15.31,3.00%,"6,381,248.50","412,728",15.01,15.90,14.90,2018-04-19 12:29:38
27,Misr Oils & Soap,30.10,2.92%,"41,789.40","1,333",30.46,31.84,30.10,2018-04-17 08:10:39
28,ICMI,1.12,2.78%,"127,625.00","114,500",1.08,1.12,1.09,2018-04-19 12:08:26
29,Suez Canal Bank,13.50,2.76%,"1,983,487.13","148,077",13.03,13.59,13.00,2018-04-19 12:28:30
30,Misr Chemical Indust,16.27,2.62%,"449,817.94","27,977",15.67,16.27,15.77,2018-04-19 12:15:30
31,Abu Qir Fertilizers,31.35,2.36%,"14,931,494.00","472,548",30.87,32.00,30.90,2018-04-19 12:29:21
32,Arab for Development,0.45,2.33%,"71,475.00","161,500",0.43,0.45,0.44,2018-04-19 12:29:17
33,Telecom Egypt,14.85,2.27%,"116,449,704.00","7,846,148",14.51,14.99,14.57,2018-04-19 12:29:55
34,MTI,16.50,2.18%,"5,873,396.50","358,041",16.05,16.50,16.25,2018-04-19 12:26:51
35,Middle Egypt Flour M,49.01,2.16%,"2,256,654.75","44,548",49.59,52.00,49.00,2018-04-19 12:23:43
36,General Co for Silos,73.50,2.08%,"1,693,229.00","23,320",71.13,73.98,70.11,2018-04-19 12:29:49
37,Orange,17.56,2.01%,"1,351,016.25","76,238",17.37,17.98,17.44,2018-04-19 12:29:09
38,Remco,5.86,1.91%,"1,607,168.00","273,991",5.76,5.93,5.76,2018-04-19 12:28:16
39,EGX 30 INDEX ETF,18.54,1.87%,"1,988,600.38","107,260",18.20,18.54,18.54,2018-04-11 09:33:52
40,Egyptians for Housin,3.48,1.73%,"730,889.44","207,257",3.47,3.58,3.45,2018-04-19 12:28:53
41,EFG Hermes,25.10,1.33%,"45,336,144.00","1,803,876",24.80,25.40,24.61,2018-04-19 12:29:55
42,Juhayna,13.01,1.33%,"625,746.31","48,129",12.83,13.01,12.95,2018-04-19 12:18:36
43,Sidi Kerir Petrochem,28.48,1.32%,"15,665,148.00","549,882",28.12,28.74,28.05,2018-04-19 12:29:55
44,North Cairo Mills,37.00,1.30%,"947,473.81","25,855",36.18,37.00,35.15,2018-04-19 12:26:42
45,Vodafone,120.00,1.24%,"59,040.00",492,118.53,120.00,120.00,2018-04-18 10:24:14
46,Heliopolis Housing,37.13,1.23%,"13,171,281.00","355,297",36.62,37.48,36.70,2018-04-19 12:29:55
47,Orascom Development,32.75,1.21%,"5,175,795.00","155,214",32.95,34.39,32.75,2018-04-19 12:29:10
48,Cairo Oils & Soap,10.81,1.20%,"1,937,702.38","177,142",10.81,11.12,10.80,2018-04-19 12:29:54
49,Univert,0.85,1.19%,"57,734.56","68,034",0.84,0.85,0.84,2018-04-19 12:29:13
50,Elsewedy Electric,234.95,1.18%,"74,649,888.00","320,723",230.05,236.00,228.70,2018-04-19 12:29:56
51,Media Production Cit,7.83,1.16%,"1,205,804.38","153,116",7.79,8.00,7.74,2018-04-19 12:29:56
52,Egyptians Abroad for,4.36,1.16%,"642,110.00","146,809",4.32,4.41,4.28,2018-04-19 12:29:37
53,Medical Packaging,0.86,1.16%,"82,816.00","95,300",0.86,0.87,0.86,2018-04-19 12:29:36
54,Kima,8.05,1.13%,"12,872,904.00","1,594,704",7.98,8.24,7.91,2018-04-19 12:29:52
55,Lift Slab Misr,8.02,1.13%,"1,162,945.38","143,726",8.00,8.23,8.00,2018-04-19 12:29:29
56,Alex Cont,164.00,1.12%,"773,304.00","4,715",162.19,164.85,164.00,2018-04-19 12:28:41
57,Nasr Co for Civil Wo,24.11,1.11%,"90,564.40","3,820",23.45,24.49,23.27,2018-04-19 12:29:43
58,CIB,89.00,1.11%,"43,420,048.00","485,876",88.38,89.99,87.25,2018-04-19 12:29:14
59,Raya,10.10,1.09%,"5,728,451.00","562,860",10.07,10.45,10.00,2018-04-19 12:28:25
60,National Drilling,3.85,1.05%,"1,972,671.00","28,952",3.81,4.19,3.81,2018-04-19 12:18:27
61,Cleopatra Hospital,4.07,0.99%,"14,877,288.00","3,637,202",4.05,4.15,3.96,2018-04-19 12:29:45
62,Housing & Developmen,54.01,0.93%,"1,043,540.69","19,332",53.48,54.03,53.89,2018-04-19 12:29:18
