,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
0,6060,Sharqiya Dev Co,51.70,9.83%,"72,034,767.45","1,432,857",47.00,51.70,47.00,2018-04-22 11:56:14
1,1212,Astra Indust,20.66,7.13%,"53,207,102.20","2,628,462",19.50,20.76,19.40,2018-04-22 11:59:55
2,8160,AICC,18.50,5.54%,"19,532,863.00","1,064,083",17.44,18.80,17.40,2018-04-22 11:59:30
3,7030,ZAIN KSA,8.07,5.38%,"144,975,976.66","18,493,656",7.66,8.08,7.57,2018-04-22 11:59:59
4,8280,Al Alamiya,31.60,4.60%,"6,847,935.70","221,426",30.20,31.60,30.20,2018-04-22 11:59:49
5,1060,SABB,33.20,3.36%,"7,992,474.85","242,420",32.50,33.50,32.50,2018-04-22 11:57:59
6,4061,Anaam Holding,12.58,3.03%,"14,208,275.68","1,128,043",12.20,12.88,12.20,2018-04-22 11:59:57
7,6050,SFICO,30.10,2.94%,"44,767,879.10","1,498,538",29.20,30.25,29.00,2018-04-22 11:59:56
8,4001,A.Othaim Market,173.60,2.82%,"30,056,583.40","174,571",169.60,173.60,169.60,2018-04-22 11:59:58
9,2040,Saudi Ceramics,24.80,2.82%,"29,715,464.62","1,196,589",24.30,25.30,24.30,2018-04-22 11:59:54
10,4160,THIMAR,32.60,2.62%,"31,886,312.80","992,963",31.50,32.65,31.45,2018-04-22 11:59:57
11,2060,TASNEE,20.96,2.50%,"99,634,728.78","4,776,015",20.38,21.14,20.26,2018-04-22 11:59:59
12,8180,Sagr Insurance,25.40,2.33%,"14,471,762.75","565,031",25.00,26.20,25.00,2018-04-22 11:59:58
13,8240,CHUBB,25.40,2.27%,"20,452,305.43","809,969",24.40,25.80,24.38,2018-04-22 11:59:52
14,2180,FIPCO,34.75,2.15%,"13,108,109.65","377,723",34.00,35.05,34.00,2018-04-22 11:59:46
15,1040,ALAWWAL,13.02,1.96%,"12,890,933.78","996,920",12.64,13.02,12.62,2018-04-22 11:59:27
16,4210,SRMG,93.10,1.89%,"54,406,085.10","581,517",93.20,94.70,91.70,2018-04-22 11:59:48
17,1820,Al Hokair Group,23.16,1.76%,"40,726,049.10","1,779,111",22.60,23.24,22.46,2018-04-22 11:59:56
18,4070,TAPRCO,47.35,1.68%,"59,600,616.60","1,260,715",46.95,47.90,46.50,2018-04-22 11:59:37
19,1303,EIC,23.64,1.68%,"8,948,895.20","380,359",23.30,23.76,23.24,2018-04-22 11:59:39
20,1202,MEPCO,26.65,1.53%,"12,365,132.30","465,875",26.00,26.70,26.00,2018-04-22 11:59:54
21,1030,saib,17.00,1.43%,"9,766,240.02","576,788",16.76,17.00,16.76,2018-04-22 11:59:26
22,2150,Zoujaj,21.40,1.42%,"15,692,726.56","734,359",21.18,21.48,21.18,2018-04-22 11:58:54
23,4130,Al-baha,21.70,1.41%,"9,677,769.58","450,943",21.20,21.80,21.02,2018-04-22 11:59:35
24,8100,SAICO,20.42,1.39%,"20,699,618.50","1,010,861",20.16,20.80,20.00,2018-04-22 11:59:31
25,1302,Bawan,18.38,1.32%,"18,080,389.68","986,594",18.00,18.56,17.96,2018-04-22 11:59:25
26,9506,RAYDAN,16.80,1.32%,"26,778.18","1,658",0.00,16.90,15.66,2018-04-22 08:14:43
27,5110,Saudi Electric,21.76,1.30%,"42,021,387.00","1,939,140",21.50,21.84,21.44,2018-04-22 11:59:51
28,4005,Care,62.70,1.29%,"12,392,234.80","199,101",61.90,62.80,61.90,2018-04-22 11:59:56
29,9503,BAAZEEM,27.50,1.29%,"332,653.10","12,161",27.10,27.50,27.10,2018-04-22 10:21:35
30,4003,Extra,83.60,1.27%,"17,221,623.70","205,863",82.90,85.00,82.00,2018-04-22 11:59:33
31,3050,spcc,41.90,1.26%,"21,561,119.85","515,139",41.40,42.10,41.25,2018-04-22 11:59:57
32,2320,AL-BABTAIN,28.50,1.24%,"14,742,897.05","519,965",28.10,28.60,28.10,2018-04-22 11:59:22
33,4230,RED SEA,19.26,1.20%,"8,829,458.06","454,210",19.30,19.70,19.20,2018-04-22 11:59:33
34,6040,TADCO,12.36,1.15%,"11,365,554.24","926,885",12.24,12.36,12.18,2018-04-22 11:59:32
35,8290,Solidarity,22.64,1.03%,"8,552,709.48","379,430",22.42,22.70,22.40,2018-04-22 11:59:55
36,8310,Amana Insurance,19.60,1.03%,"8,834,214.34","451,685",19.34,19.74,19.34,2018-04-22 11:58:40
37,8140,Al-Ahlia,11.82,1.02%,"6,628,473.60","554,798",11.72,12.16,11.72,2018-04-22 11:59:30
38,2100,WAFRAH,16.52,0.98%,"2,528,347.60","153,069",16.44,16.60,16.40,2018-04-22 11:59:59
39,2280,Almarai,59.30,0.95%,"52,964,214.90","892,729",59.00,59.80,58.70,2018-04-22 11:57:55
40,2210,Nama Chemicals,20.40,0.89%,"19,492,877.44","947,555",20.34,20.88,20.30,2018-04-22 11:59:35
41,1810,ALTAYYAR,28.40,0.89%,"30,272,079.20","1,069,267",28.15,28.60,28.05,2018-04-22 11:59:52
42,7040,Atheeb Telecom,5.87,0.86%,"8,884,700.16","1,517,052",5.84,5.92,5.80,2018-04-22 11:59:20
43,6010,NADEC,38.55,0.84%,"7,414,683.60","193,288",38.00,38.70,37.90,2018-04-22 11:59:02
44,8010,Tawuniya,80.50,0.73%,"14,815,635.30","184,502",80.00,80.50,80.00,2018-04-22 11:59:54
45,8011,METLIFE AIG ANB,12.72,0.71%,"7,096,680.06","289,749",24.66,24.88,24.14,2018-04-18 11:59:34
46,7020,Etihad Etisalat,15.70,0.71%,"51,417,914.72","3,299,696",15.54,15.70,15.42,2018-04-22 11:59:57
47,2170,Alujain,27.25,0.70%,"29,394,463.25","1,080,435",27.00,27.80,26.85,2018-04-22 11:59:58
48,8260,Gulf General,17.14,0.65%,"4,989,696.00","292,865",17.00,17.14,16.94,2018-04-22 11:59:31
49,8060,WALAA,34.45,0.64%,"12,691,198.80","368,668",34.00,34.60,34.00,2018-04-22 11:59:38
50,2090,NGC,12.72,0.64%,"7,296,773.74","576,366",12.58,12.78,12.58,2018-04-22 11:57:21
51,4002,Mouwasat,197.00,0.60%,"3,211,320.00","16,583",195.00,197.00,193.00,2018-04-22 11:59:00
52,4200,Aldrees,29.10,0.59%,"17,306,597.00","595,985",28.90,29.70,28.50,2018-04-22 11:59:38
53,4300,Dar Al Arkan,13.78,0.58%,"215,361,975.28","15,669,853",13.70,13.84,13.62,2018-04-22 11:59:59
54,4260,Budget Saudi,38.65,0.57%,"6,475,499.30","167,495",38.50,39.00,38.40,2018-04-22 11:58:15
55,2220,Maadaniyah,19.50,0.57%,"2,906,705.90","149,271",19.38,19.54,19.38,2018-04-22 11:59:56
56,4290,Alkhaleej Trng,19.84,0.56%,"3,192,864.14","160,684",19.84,19.98,19.76,2018-04-22 11:59:39
57,4040,SAPTCO,16.64,0.54%,"33,356,906.24","1,994,010",16.58,16.90,16.56,2018-04-22 11:59:52
58,4090,Taiba,31.55,0.54%,"4,084,588.15","129,839",31.35,31.60,31.20,2018-04-22 11:59:52
59,3007,OASIS,44.65,0.54%,"7,679,359.70","171,538",44.45,45.00,44.45,2018-04-22 11:59:56
60,4240,AlHokair,28.00,0.54%,"17,801,750.20","633,229",27.95,28.30,27.95,2018-04-22 11:59:35
61,2230,Chemical,33.75,0.53%,"3,161,559.30","93,244",33.60,34.00,33.60,2018-04-22 11:52:16
62,8170,Trade Union,22.74,0.53%,"8,301,767.94","364,009",22.60,23.02,22.60,2018-04-22 11:59:40
63,1180,NCB,67.10,0.48%,"24,290,799.10","362,948",66.90,67.20,66.60,2018-04-22 11:59:02
64,4007,Al Hammadi,37.05,0.46%,"28,530,538.40","766,071",36.95,37.50,36.90,2018-04-22 11:59:30
