,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
0,4210,SRMG,91.40,9.91%,"71,448,767.30","809,511",83.50,91.40,83.40,2018-04-19 11:59:31
1,2250,SIIG,26.90,7.35%,"102,678,017.35","3,894,229",25.00,27.20,25.00,2018-04-19 11:59:52
2,4200,Aldrees,28.80,6.91%,"81,636,687.70","2,834,786",27.50,29.70,27.50,2018-04-19 11:59:48
3,9501,DWF,73.00,6.41%,"21,618.40",296,73.00,73.00,73.00,2018-04-19 10:34:04
4,1211,MAADEN,57.40,6.10%,"149,944,690.60","2,669,450",54.30,57.70,54.30,2018-04-19 11:59:55
5,4270,SPPC,20.14,5.74%,"115,634,618.12","5,841,773",19.16,20.38,19.16,2018-04-19 11:59:57
6,4003,Extra,82.50,5.51%,"37,090,856.20","459,524",78.60,83.40,78.60,2018-04-19 11:59:47
7,1050,BSFR,32.90,4.64%,"30,358,958.40","948,084",30.60,33.00,30.60,2018-04-19 11:59:49
8,1080,ARNB,32.10,4.51%,"17,224,320.70","539,230",30.70,33.65,30.70,2018-04-19 11:59:46
9,8180,Sagr Insurance,25.00,4.36%,"50,394,285.15","1,995,570",24.20,26.00,24.20,2018-04-19 11:59:56
10,2170,Alujain,26.90,3.57%,"54,972,296.20","2,048,371",26.30,27.30,26.30,2018-04-19 11:59:52
11,1090,samba,29.00,3.57%,"75,791,626.80","2,623,593",28.20,29.20,28.10,2018-04-19 11:59:18
12,4070,TAPRCO,46.20,3.38%,"56,797,468.45","1,233,124",45.00,47.15,44.50,2018-04-19 11:59:57
13,9502,ALOMRAN,16.94,3.29%,16.94,1,16.94,16.94,16.94,2018-04-19 11:42:47
14,3020,YSCC,17.04,3.09%,"32,315,269.96","1,901,287",16.72,17.16,16.70,2018-04-19 11:59:55
15,8160,AICC,17.50,3.00%,"12,680,107.00","722,056",17.10,18.00,17.10,2018-04-19 11:59:45
16,1140,ALBILAD,24.46,2.99%,"34,921,975.80","1,445,942",23.62,24.50,23.62,2018-04-19 11:59:45
17,1020,BJAZ,13.10,2.75%,"105,008,845.10","8,058,197",12.70,13.22,12.70,2018-04-19 11:59:53
18,1120,Al Rajhi,84.40,2.67%,"293,862,640.80","3,503,615",82.10,84.80,82.10,2018-04-19 11:59:49
19,2040,Saudi Ceramics,24.12,2.64%,"21,966,438.58","920,596",23.48,24.16,23.48,2018-04-19 11:59:46
20,8060,WALAA,34.25,2.48%,"47,114,735.20","1,371,056",33.80,35.00,33.80,2018-04-19 11:59:47
